CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DEF_30_CNT_SOCIAL_CIRCLE,AMT_REQ_CREDIT_BUREAU_YEAR,EDAD_ANOS,ANTIGUEDAD_ANOS,DIAS_CAMBIO_TEL,NAME_CONTRACT_TYPE_Revolving loans,CODE_GENDER_M,CODE_GENDER_XNA,FLAG_OWN_CAR_Y,FLAG_OWN_REALTY_Y,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_Maternity leave,NAME_INCOME_TYPE_Pensioner,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Unemployed,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Unknown,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Cleaning staff,OCCUPATION_TYPE_Cooking staff,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_HR staff,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_IT staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Low-skill Laborers,OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Sales staff,OCCUPATION_TYPE_Secretaries,OCCUPATION_TYPE_Security staff,OCCUPATION_TYPE_Waiters/barmen staff
0,189000.0,835380.0,33129.0,675000.0,1.0,2,,0.3266797175054245,0.3944954053123993,0.0,3.0,56.484931506849314,10.427397260273972,1447.0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,130500.0,814041.0,23800.5,679500.0,2.0,2,0.5001332022811147,0.3683983721219109,0.4686596550493113,0.0,3.0,37.18356164383562,8.506849315068493,243.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,202500.0,895500.0,26181.0,895500.0,1.0,2,,0.7721597343875138,,0.0,,55.57808219178082,9.747945205479452,1147.0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,135000.0,2013840.0,53253.0,1800000.0,2.0,2,,0.5423668939705438,0.4650692149562261,0.0,0.0,51.35068493150685,32.81369863013698,881.0,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,157500.0,808650.0,23305.5,675000.0,2.0,1,0.7059206684334157,0.6995432888774649,,0.0,0.0,31.684931506849313,12.512328767123288,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,94500.0,144000.0,13207.5,144000.0,2.0,3,,0.4667575993518046,0.1368005219117748,0.0,0.0,42.679452054794524,6.802739726027397,1159.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,90000.0,474048.0,25843.5,360000.0,1.0,3,,0.4227602539870525,,1.0,,23.15890410958904,0.4,1240.0,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,157500.0,595903.5,25375.5,481500.0,2.0,2,0.8685745696033772,0.5986110955480376,0.5478104658520093,0.0,4.0,55.71780821917808,10.482191780821918,1599.0,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,135000.0,180000.0,9000.0,180000.0,2.0,2,,0.3992664172589288,0.524496446363472,0.0,5.0,25.93972602739726,4.3863013698630136,755.0,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0,67500.0,293535.0,21357.0,265500.0,2.0,2,,0.5895147531964045,0.6801388218428291,0.0,1.0,46.271232876712325,18.30958904109589,2115.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,90000.0,1971072.0,68643.0,1800000.0,2.0,2,,0.5323262185221695,0.3672910183026313,0.0,1.0,46.90958904109589,2.6,843.0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,180000.0,495000.0,16096.5,495000.0,4.0,3,,0.4387968275227375,0.5424451438613613,0.0,3.0,37.583561643835615,7.115068493150685,2129.0,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,180000.0,675000.0,19867.5,675000.0,1.0,3,0.4921053720143893,0.5424265974490685,0.7032033049040319,0.0,0.0,57.487671232876714,6.6438356164383565,2256.0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,112500.0,405000.0,37143.0,405000.0,2.0,2,,0.258694789198233,0.6754132910917112,0.0,0.0,37.07671232876712,5.86027397260274,315.0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,135000.0,544491.0,17694.0,454500.0,2.0,2,0.8123152740811354,0.1367519839159136,0.6785676886853644,0.0,1.0,45.58904109589041,3.263013698630137,1375.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
